Region,2020
Beijing,21890
Tianjin,13870
Hebei,74640
Shanxi,34900
InnerMongolia,24030
Liaoning,42550
Jilin,23990
Heilongjiang,31710
Shanghai,24880
Jiangsu,84770
Zhejiang,64680
Anhui,61050
Fujian,41610
Jiangxi,45190
Shandong,101650
Henan,99410
Hubei,57450
Hunan,66450
Guangdong,126240
Guangxi,50190
Hainan,10120
Chongqing,32090
Sichuan,83710
Guizhou,38580
Yunnan,47220
Tibet,3660
Shaanxi,39550
Gansu,25010
Qinghai,5930
Ningxia,7210
Xinjiang,25900
