Region,MW
Beijing,1902
Tianjin,13353
Hebei,53110
Shanxi,68780
InnerMongolia,93440
Liaoning,36430
Jilin,18520
Heilongjiang,24230
Shanghai,12478
Jiangsu,94756
Zhejiang,59270
Anhui,55610
Fujian,31040
Jiangxi,24550
Shandong,111350
Henan,67620
Hubei,33160
Hunan,22690
Guangdong,67303
Guangxi,23440
Hainan,3096
Chongqing,14510
Sichuan,15260
Guizhou,3560
Yunnan,15170
Tibet,146
Shaanxi,49930
Gansu,23080
Qinghai,3630
Ningxia,33260
Xinjiang,63370
