Region,MW
Beijing,190
Tianjin,753
Hebei,20148
Shanxi,19740
InnerMongolia,37860
Liaoning,8692
Jilin,5770
Heilongjiang,6860
Shanghai,727
Jiangsu,13707
Zhejiang,1648
Anhui,4120
Fujian,4306
Jiangxi,5100
Shandong,15904
Henan,15180
Hubei,5020
Hunan,6690
Guangdong,5006
Guangxi,5786
Hainan,257
Chongqing,970
Sichuan,4260
Guizhou,5800
Yunnan,8810
Tibet,10
Shaanxi,8920
Gansu,13730
Qinghai,8430
Ningxia,13770
Xinjiang,23610
